t_sec,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2.326,0.244140625,0.095703125,0.931640625,3.3206106870229006,0.05343511450381679,0.32061068702290074
2.569,0.25244140625,0.09912109375,0.927490234375,3.366412213740458,-0.1297709923664122,0.20610687022900764
2.897,0.25244140625,0.0986328125,0.926025390625,3.1908396946564888,0.29770992366412213,0.42748091603053434
3.237,0.1767578125,0.095458984375,0.929443359375,2.122137404580153,-1.6564885496183206,-1.8549618320610688
3.587,0.228515625,0.0234375,0.926513671875,-3.786259541984733,-77.93129770992367,5.458015267175573
3.907,0.808349609375,-0.032470703125,0.68212890625,-14.030534351145038,-48.51145038167939,-7.00763358778626
4.07,0.76708984375,-0.00830078125,0.63818359375,0.7099236641221374,-2.2061068702290076,0.15267175572519084
4.237,0.7353515625,-0.043701171875,0.608154296875,8.595419847328245,-3.969465648854962,-4.770992366412214
4.403,0.7353515625,0.0341796875,0.672119140625,7.3893129770992365,0.7175572519083969,-4.67175572519084
4.746,0.67333984375,0.019775390625,0.742431640625,10.17557251908397,19.412213740458014,22.49618320610687
4.91,0.705810546875,0.03271484375,0.66845703125,-22.625954198473284,-33.41984732824427,-2.114503816793893
5.086,0.70849609375,0.007080078125,0.6640625,5.091603053435114,0.5343511450381679,-0.26717557251908397
5.572,0.71484375,0.011474609375,0.661865234375,3.648854961832061,0.5954198473282443,-0.9923664122137404
5.748,0.7099609375,0.01220703125,0.669189453125,3.4580152671755724,0.12213740458015267,-0.29770992366412213
5.902,0.709228515625,0.01806640625,0.66552734375,3.0610687022900764,0.05343511450381679,-0.24427480916030533
6.42,0.703857421875,0.024169921875,0.674560546875,3.2748091603053435,0.5725190839694656,-0.16793893129770993
6.575,0.701904296875,0.022216796875,0.67236328125,3.312977099236641,0.5190839694656488,-0.1450381679389313
6.75,0.69873046875,0.017822265625,0.6767578125,3.572519083969466,0.8320610687022901,-0.44274809160305345
6.913,0.69873046875,0.02880859375,0.674560546875,3.6259541984732824,1.0610687022900764,-0.07633587786259542
7.083,0.710205078125,0.01806640625,0.66796875,4.3893129770992365,2.6564885496183206,-1.2595419847328244
7.25,0.650634765625,0.033935546875,0.702392578125,7.519083969465649,28.763358778625953,0.4580152671755725
7.42,0.61181640625,0.039794921875,0.79296875,4.564885496183206,51.54961832061068,-3.885496183206107
7.765,0.357666015625,0.07177734375,0.83447265625,11.625954198473282,42.41984732824427,1.1755725190839694
7.927,0.283447265625,0.089111328125,0.903076171875,3.6030534351145036,1.381679389312977,4.435114503816794
8.1,0.25390625,0.091064453125,0.9228515625,3.114503816793893,-0.6259541984732825,0.6106870229007634
8.266,0.285400390625,0.095458984375,0.9287109375,5.877862595419847,13.442748091603054,-0.46564885496183206
8.439,0.2001953125,0.115478515625,1.010986328125,1.2671755725190839,28.129770992366414,0.5190839694656488
8.766,-0.185791015625,0.127685546875,0.8193359375,24.236641221374047,85.00763358778626,-11.625954198473282
9.097,-0.24755859375,0.11962890625,0.90576171875,-3.099236641221374,11.267175572519085,1.0610687022900764
9.267,-0.36376953125,0.12353515625,0.96484375,2.885496183206107,-7.99236641221374,1.1984732824427482
9.419,-0.22998046875,0.1171875,0.921630859375,5.343511450381679,1.984732824427481,1.0534351145038168
9.582,-0.26220703125,0.1572265625,0.92333984375,5.893129770992366,2.1526717557251906,3.885496183206107
9.924,-0.288818359375,0.165771484375,0.904296875,3.572519083969466,-2.3740458015267176,-0.7633587786259542
10.096,-0.283935546875,0.16845703125,0.9072265625,4.480916030534351,-0.030534351145038167,1.0305343511450382
10.262,-0.2783203125,0.1728515625,0.904052734375,4.206106870229007,0.10687022900763359,1.366412213740458
10.435,-0.27880859375,0.16650390625,0.905517578125,2.7099236641221376,-0.06870229007633588,-0.24427480916030533
10.757,-0.26708984375,0.173095703125,0.916259765625,3.9389312977099236,-1.5038167938931297,0.9847328244274809
10.937,-0.24755859375,0.172607421875,0.89599609375,3.50381679389313,-0.09923664122137404,0.061068702290076333
11.121,-0.255126953125,0.176025390625,0.905517578125,3.969465648854962,-1.702290076335878,-0.030534351145038167
11.281,-0.266845703125,0.17822265625,0.905029296875,5.648854961832061,-4.145038167938932,0.10687022900763359
11.62,-0.1357421875,0.194580078125,0.88427734375,4.206106870229007,-51.099236641221374,3.687022900763359
11.951,0.414794921875,0.07763671875,0.748046875,-35.89312977099237,-0.10687022900763359,7.519083969465649
12.118,0.219970703125,0.099365234375,0.9287109375,2.366412213740458,-0.4580152671755725,-1.1603053435114503
12.288,0.280029296875,0.0576171875,0.921142578125,6.580152671755725,9.725190839694656,-8.877862595419847
12.466,0.2509765625,0.093017578125,0.9091796875,3.8473282442748094,-6.534351145038168,-0.3053435114503817
12.626,0.267333984375,0.091796875,0.925537109375,3.030534351145038,0.07633587786259542,-0.061068702290076333
12.793,0.267578125,0.09375,0.920654296875,3.404580152671756,0.8473282442748091,-0.2824427480916031
12.966,0.26708984375,0.101806640625,0.92578125,3.0916030534351147,0.32061068702290074,0.007633587786259542
13.299,0.272216796875,0.09619140625,0.92431640625,2.9770992366412212,0.05343511450381679,0.015267175572519083
13.478,0.27734375,0.089111328125,0.922607421875,3.2519083969465647,0.4122137404580153,0.061068702290076333
13.626,0.270263671875,0.095458984375,0.926513671875,2.954198473282443,0.2900763358778626,0.030534351145038167
13.8,0.2646484375,0.097900390625,0.92236328125,3.1068702290076335,0.3053435114503817,0.03816793893129771
13.946,0.26953125,0.098388671875,0.922607421875,2.9923664122137406,0.2748091603053435,0.20610687022900764
14.115,0.26904296875,0.094970703125,0.925537109375,3.0381679389312977,0.25190839694656486,0.1450381679389313
14.271,0.265625,0.091064453125,0.925048828125,3.2442748091603053,0.030534351145038167,0.16030534351145037
14.617,0.26953125,0.096923828125,0.921142578125,2.984732824427481,-0.030534351145038167,0.015267175572519083
15.128,0.26904296875,0.09814453125,0.921875,3.0763358778625953,0.17557251908396945,0.25190839694656486
