t_sec,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.498,0.305419921875,0.074951171875,0.9140625,4.32824427480916,1.8091603053435115,0.12213740458015267
1.755,0.26708984375,0.09619140625,0.92138671875,2.9923664122137406,0.22900763358778625,0.07633587786259542
2.101,0.21923828125,0.046875,0.90771484375,-4.687022900763359,8.053435114503817,-6.877862595419847
2.272,0.275634765625,0.104248046875,0.9609375,-33.83969465648855,7.6106870229007635,2.366412213740458
2.438,0.201171875,-0.138916015625,0.86083984375,-68.26717557251908,18.64885496183206,12.221374045801527
2.608,0.162841796875,-0.35009765625,1.027587890625,-42.69465648854962,7.7251908396946565,15.908396946564885
2.774,0.105224609375,-0.377197265625,0.75439453125,-63.12977099236641,5.770992366412214,22.52671755725191
2.952,0.05517578125,-0.603271484375,0.78271484375,-29.076335877862597,7.748091603053435,23.12213740458015
3.112,-0.048583984375,-0.65087890625,0.864990234375,-21.47328244274809,19.916030534351144,15.244274809160306
3.277,0.08349609375,-0.69189453125,0.632568359375,-12.648854961832061,-0.183206106870229,5.9465648854961835
3.443,-0.0888671875,-0.72119140625,0.55810546875,19.18320610687023,1.0763358778625953,7.419847328244275
3.786,-0.071533203125,-0.701416015625,0.67333984375,2.2061068702290076,1.8931297709923665,1.6030534351145038
3.944,-0.055419921875,-0.744384765625,0.62109375,2.3206106870229006,-0.13740458015267176,-1.0610687022900764
4.112,-0.046630859375,-0.728271484375,0.651611328125,4.145038167938932,-0.549618320610687,1.3129770992366412
4.28,-0.03515625,-0.741455078125,0.6416015625,3.9389312977099236,-0.5114503816793893,1.3587786259541985
4.449,-0.040771484375,-0.72216796875,0.67626953125,-0.22900763358778625,0.3511450381679389,-1.0076335877862594
4.62,-0.054443359375,-0.740966796875,0.634033203125,-0.7862595419847328,-0.549618320610687,0.015267175572519083
4.79,-0.0546875,-0.74853515625,0.62646484375,1.0763358778625953,-0.3816793893129771,-0.07633587786259542
5.14,-0.086669921875,-0.8056640625,0.525146484375,47.61832061068702,-21.580152671755727,-5.961832061068702
5.311,0.05419921875,-0.543212890625,0.732666015625,78.73282442748092,-23.17557251908397,-24.84732824427481
5.483,0.116943359375,-0.290771484375,0.847900390625,90.16793893129771,-17.34351145038168,-27.213740458015266
5.813,0.29052734375,-0.08984375,0.784912109375,63.63358778625954,-29.480916030534353,-10.648854961832061
5.981,0.138671875,0.103271484375,0.984619140625,15.725190839694656,10.84732824427481,-9.786259541984732
6.325,0.330322265625,0.501953125,0.69091796875,65.70992366412214,-3.435114503816794,-44.83206106870229
6.481,0.197021484375,0.6357421875,0.71044921875,26.862595419847327,-3.648854961832061,-1.1068702290076335
6.824,0.178466796875,0.7607421875,0.5224609375,39.0763358778626,-1.1755725190839694,-5.213740458015267
6.999,0.0888671875,0.896484375,0.65234375,19.81679389312977,-0.9847328244274809,-3.351145038167939
7.174,0.221923828125,0.83349609375,0.482177734375,4.129770992366412,-0.22900763358778625,2.816793893129771
7.344,0.200927734375,0.823486328125,0.48095703125,4.030534351145038,0.2595419847328244,1.0076335877862594
7.681,0.217529296875,0.825439453125,0.46875,3.381679389312977,-0.4351145038167939,0.12213740458015267
8.025,0.213134765625,0.826416015625,0.47119140625,2.885496183206107,0.5267175572519084,0.26717557251908397
8.544,0.212158203125,0.8291015625,0.477294921875,3.519083969465649,-0.20610687022900764,-0.5419847328244275
8.722,0.197265625,0.837646484375,0.478759765625,0.4198473282442748,3.8702290076335877,0.10687022900763359
9.229,0.1396484375,0.209228515625,0.864501953125,-78.30534351145039,22.52671755725191,11.122137404580153
9.579,0.283447265625,-0.091064453125,1.041748046875,-10.022900763358779,-9.488549618320612,17.81679389312977
9.758,0.19140625,0.12109375,0.946044921875,-8.312977099236642,-27.099236641221374,-0.9770992366412213
10.096,0.240234375,0.098388671875,0.936279296875,3.114503816793893,-0.3053435114503817,0.3893129770992366
10.25,0.24267578125,0.10302734375,0.93701171875,3.1603053435114505,-0.07633587786259542,0.061068702290076333
10.752,0.246826171875,0.09814453125,0.927490234375,3.3206106870229006,0.8015267175572519,0.4961832061068702
10.914,0.241455078125,0.097900390625,0.931396484375,3.145038167938931,0.5038167938931297,0.21374045801526717
11.08,0.24365234375,0.1005859375,0.938720703125,3.267175572519084,0.46564885496183206,0.4351145038167939
11.254,0.244140625,0.0947265625,0.933349609375,3.1603053435114505,0.2595419847328244,0.030534351145038167
11.75,0.24755859375,0.09912109375,0.93359375,3.053435114503817,0.21374045801526717,0.3969465648854962
11.92,0.2451171875,0.09765625,0.931884765625,3.1297709923664123,0.22137404580152673,0.2366412213740458
