t_sec,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.903,0.24951171875,0.099609375,0.9248046875,2.931297709923664,0.3282442748091603,-0.19083969465648856
1.987,0.25439453125,0.10009765625,0.928955078125,3.015267175572519,0.3053435114503817,0.08396946564885496
2.161,0.255859375,0.095947265625,0.927978515625,3.0229007633587788,0.1297709923664122,0.48854961832061067
2.319,0.252197265625,0.0986328125,0.931396484375,3.2519083969465647,0.40458015267175573,0.21374045801526717
2.49,0.255126953125,0.099609375,0.93212890625,3.236641221374046,0.22900763358778625,0.061068702290076333
2.658,0.255615234375,0.096923828125,0.930419921875,3.2519083969465647,0.2366412213740458,0.007633587786259542
3.007,0.25390625,0.09912109375,0.92919921875,3.099236641221374,-0.15267175572519084,0.3511450381679389
3.343,0.248779296875,0.098388671875,0.9326171875,3.2290076335877864,-0.24427480916030533,-0.13740458015267176
3.517,0.254150390625,0.094970703125,0.93408203125,3.16793893129771,0.22900763358778625,0.42748091603053434
3.678,0.251708984375,0.096435546875,0.93310546875,3.0229007633587788,0.2595419847328244,0.3816793893129771
3.855,0.252197265625,0.094482421875,0.92919921875,2.900763358778626,0.3511450381679389,0.22137404580152673
4.008,0.250732421875,0.093994140625,0.9296875,3.2595419847328246,0.15267175572519084,0.022900763358778626
4.184,0.249755859375,0.099365234375,0.930908203125,3.114503816793893,0.015267175572519083,0.2595419847328244
4.357,0.25537109375,0.097412109375,0.92919921875,3.114503816793893,0.17557251908396945,0.1984732824427481
4.693,0.254150390625,0.096435546875,0.9189453125,3.2900763358778624,0.09923664122137404,0.2595419847328244
4.866,0.24951171875,0.097412109375,0.9287109375,2.9083969465648853,0.0,0.35877862595419846
5.37,0.251220703125,0.09521484375,0.932861328125,3.0229007633587788,-0.015267175572519083,0.25190839694656486
5.717,0.253173828125,0.100341796875,0.93017578125,3.053435114503817,-0.1297709923664122,-0.0916030534351145
5.883,0.25341796875,0.102294921875,0.926025390625,2.9618320610687023,0.16793893129770993,0.03816793893129771
6.043,0.254638671875,0.098388671875,0.929443359375,3.0610687022900764,0.5343511450381679,0.10687022900763359
6.207,0.252685546875,0.095947265625,0.927490234375,2.984732824427481,0.10687022900763359,0.2900763358778626
6.382,0.254150390625,0.098876953125,0.93310546875,2.984732824427481,0.20610687022900764,0.1450381679389313
6.55,0.25244140625,0.09765625,0.92724609375,3.2748091603053435,0.1297709923664122,0.0
6.717,0.255126953125,0.09765625,0.92626953125,3.3282442748091605,0.32061068702290074,0.08396946564885496
7.065,0.248779296875,0.09716796875,0.925048828125,3.114503816793893,0.05343511450381679,0.24427480916030533
7.565,0.2529296875,0.0986328125,0.933837890625,2.9770992366412212,0.2824427480916031,0.3053435114503817
7.716,0.2529296875,0.0947265625,0.927734375,3.2442748091603053,0.31297709923664124,0.015267175572519083
7.88,0.252197265625,0.0966796875,0.927001953125,2.786259541984733,0.04580152671755725,0.25190839694656486
8.05,0.253662109375,0.09619140625,0.92578125,3.1374045801526718,0.2824427480916031,0.2748091603053435
8.22,0.25439453125,0.097412109375,0.928955078125,3.2977099236641223,0.10687022900763359,0.16793893129770993
8.563,0.2548828125,0.096923828125,0.926025390625,3.1755725190839694,0.2595419847328244,0.17557251908396945
8.73,0.25341796875,0.098388671875,0.931640625,3.381679389312977,0.20610687022900764,0.21374045801526717
8.896,0.25146484375,0.099853515625,0.934326171875,3.0,0.09923664122137404,0.2824427480916031
9.058,0.253662109375,0.099365234375,0.927978515625,3.145038167938931,0.24427480916030533,0.22137404580152673
9.231,0.25244140625,0.09521484375,0.9365234375,3.198473282442748,0.2366412213740458,0.022900763358778626
9.567,0.248779296875,0.09765625,0.92919921875,3.3206106870229006,0.20610687022900764,0.20610687022900764
9.725,0.251220703125,0.09716796875,0.931396484375,2.7709923664122136,0.25190839694656486,0.10687022900763359
9.887,0.25,0.098388671875,0.926025390625,3.2442748091603053,0.40458015267175573,0.04580152671755725
10.05,0.2509765625,0.096435546875,0.933837890625,3.2442748091603053,0.16030534351145037,0.030534351145038167
10.374,0.249267578125,0.09814453125,0.9267578125,3.4580152671755724,0.2366412213740458,0.0916030534351145
10.706,0.251953125,0.09423828125,0.930419921875,3.267175572519084,0.24427480916030533,0.24427480916030533
10.863,0.24755859375,0.098876953125,0.92333984375,3.1068702290076335,0.1984732824427481,-0.11450381679389313
11.026,0.249267578125,0.09765625,0.92919921875,3.312977099236641,-0.20610687022900764,0.3435114503816794
11.207,0.256591796875,0.097412109375,0.927978515625,3.053435114503817,0.1297709923664122,0.33587786259541985
11.389,0.25,0.099609375,0.933837890625,3.015267175572519,0.15267175572519084,0.09923664122137404
11.563,0.25390625,0.096435546875,0.929931640625,3.2748091603053435,0.16030534351145037,0.0
